ranking,score_num,movie_name,score
1,1288574,肖申克的救赎,9.6
2,951218,霸王别姬,9.6
3,1182319,这个杀手不太冷,9.4
4,1015734,阿甘正传,9.4
5,594513,美丽人生,9.5
6,951395,泰坦尼克号,9.3
7,944451,千与千寻,9.3
8,532059,辛德勒的名单,9.5
9,1026845,盗梦空间,9.3
10,683063,机器人总动员,9.3
11,671461,忠犬八公的故事,9.3
12,921255,三傻大闹宝莱坞,9.2
13,765462,海上钢琴师,9.2
14,635757,放牛班的春天,9.3
15,707026,大话西游之大圣娶亲,9.2
16,691053,楚门的世界,9.2
17,623306,龙猫,9.2
18,701880,星际穿越,9.2
19,464985,教父,9.2
20,403040,熔炉,9.3
21,581223,无间道,9.1
22,745048,当幸福来敲门,9.0
23,780985,疯狂动物城,9.2
24,491584,触不可及,9.2
25,810359,怦然心动,9.0
